Start_station_id,start_station_name,Male_Start_Trip,Female_Start_Trip,Male_End_Trip,Female_End_Trip
309,San Jose City Hall,1233,314,1233,314
310,San Fernando St at 4th St,2246,432,2246,432
311,Paseo De San Antonio at 2nd St,1201,411,1201,411
312,San Jose Diridon Station,2652,1118,2652,1118
313,Almaden Blvd at San Fernando St,573,80,573,80
314,Santa Clara St at Almaden Blvd,911,226,911,226
315,Market St at 45th St,75,14,75,14
316,San Salvador St at 1st St,646,245,646,245
317,San Salvador St at 9th St,1289,289,1289,289
318,San Carlos St at Market St,298,65,298,65
321,5th at Folsom,3306,1284,3306,1284
323,Broadway at Kearny,4642,969,4642,969
324,Union Square (Powell St at Post St),5133,1954,5133,1954
327,5th St at San Salvador St,538,163,538,163
336,Potrero Ave and Mariposa St,362,89,362,89
337,Webster St at 19th St,468,156,468,156
338,13th St at Franklin St,483,178,483,178
339,Jackson St at 11th St,232,160,232,160
340,Harmon St at Adeline St,82,50,82,50
341,Fountain Alley at S 2nd St,427,103,427,103
342,Colin P Kelly Jr St at Townsend St (Temporary Site),1990,528,1990,528
343,Bryant St at 2nd St,827,289,827,289
344,16th St Depot,26,3,26,3
345,Hubbell St at 16th St,65,21,65,21
